Iteration,Index,Smarts,ParNum,ParentParNum,RefType,Matches,Molecules,FractionMatched,Denominator
0,1,'[*:1]~[#6:2]~[#6:3]~[*:4]',0,0,'t0004',1737,42,574,574
0,2,'[*:1]~[#6:2]~[#8:3]~[*:4]',0,0,'t0003',438,42,156,156
1,1,'[*:1]~[#6:2]~[#6:3]~[*:4]',0,0,'t0004',1436,42,574,574
1,2,'[*:1]~[#6:2]~[#8:3]~[*:4]',0,0,'t0003',438,42,156,156
1,3,'[*:1]~[#6:2]~[#6:3]~[#8!H0:4]',0,0,'t0012',301,42,190,307
2,1,'[*:1]~[#6:2]~[#6:3]~[*:4]',0,0,'t0004',1436,42,574,574
2,2,'[*:1]~[#6:2]~[#8:3]~[*:4]',0,0,'t0003',438,42,156,156
2,3,'[*:1]~[#6:2]~[#6:3]~[#8!H0:4]',0,0,'t0012',301,42,190,307
3,1,'[*:1]~[#6:2]~[#6:3]~[*:4]',0,0,'t0004',1436,42,574,574
3,2,'[*:1]~[#6:2]~[#8:3]~[*:4]',0,0,'t0003',438,42,156,156
3,3,'[*:1]~[#6:2]~[#6:3]~[#8!H0:4]',0,0,'t0012',301,42,190,307
4,1,'[*:1]~[#6:2]~[#6:3]~[*:4]',0,0,'t0004',1436,42,574,574
4,2,'[*:1]~[#6:2]~[#8:3]~[*:4]',0,0,'t0003',438,42,156,156
4,3,'[*:1]~[#6:2]~[#6:3]~[#8!H0:4]',0,0,'t0001',111,42,88,146
4,4,'[#1:1]~[#6:2]~[#6:3]~[#8!H0:4]',0,0,'t0012',190,42,190,307
5,1,'[*:1]~[#6:2]~[#6:3]~[*:4]',0,0,'t0004',1436,42,574,574
5,2,'[*:1]~[#6:2]~[#8:3]~[*:4]',0,0,'t0003',438,42,156,156
5,3,'[*:1]~[#6:2]~[#6:3]~[#8!H0:4]',0,0,'t0001',111,42,88,146
5,4,'[#1:1]~[#6:2]~[#6:3]~[#8!H0:4]',0,0,'t0012',190,42,190,307
6,1,'[*:1]~[#6:2]~[#6:3]~[*:4]',0,0,'t0004',1436,42,574,574
6,2,'[*:1]~[#6:2]~[#8:3]~[*:4]',0,0,'t0003',438,42,156,156
6,3,'[*:1]~[#6:2]~[#6:3]~[#8!H0:4]',0,0,'t0001',111,42,88,146
6,4,'[#1:1]~[#6:2]~[#6:3]~[#8!H0:4]',0,0,'t0012',190,42,190,307
7,1,'[*:1]~[#6:2]~[#6:3]~[*:4]',0,0,'t0004',1436,42,574,574
7,2,'[*:1]~[#6:2]~[#8:3]~[*:4]',0,0,'t0003',438,42,156,156
7,3,'[*:1]~[#6:2]~[#6:3]~[#8!H0:4]',0,0,'t0001',111,42,88,146
7,4,'[#1:1]~[#6:2]~[#6:3]~[#8!H0:4]',0,0,'t0012',190,42,190,307
8,1,'[*:1]~[#6:2]~[#6:3]~[*:4]',0,0,'t0004',1436,42,574,574
